#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
340.0,2693,4352.091596
220.0,2055,4356.003311
340.0,2523,4360.816051
325.0,2631,4365.828989
175.0,2381,4370.368881
325.0,3157,4376.435797
640.0,3283,4382.71283
325.0,2475,4387.402495
490.0,3547,4394.148551
405.0,2897,4399.681002
260.0,2273,4403.968679
485.0,3291,4410.245126
555.0,3231,4416.366936
335.0,2741,4421.553932
470.0,3615,4428.43444
600.0,3515,4441.856776
205.0,2459,4446.587485
515.0,3263,4452.760641
210.0,2393,4457.28503
520.0,3463,4463.857325
660.0,3595,4470.703056
355.0,2903,4476.246199
430.0,2875,4481.74772
275.0,2079,4485.70232
570.0,3859,4493.117718
800.0,3797,4500.368791
565.0,2562,4505.238271
360.0,2919,4510.847696
470.0,3157,4516.848271
355.0,2625,4521.853878
360.0,2951,4527.478089
305.0,3345,4533.870591
575.0,4433,4542.256191
360.0,2445,4546.88643
345.0,2735,4552.161279
570.0,3465,4558.733098
335.0,2451,4563.413098
780.0,5136,4573.274272
345.0,2503,4578.013642
525.0,3354,4584.377228
440.0,4273,4592.527093
410.0,3195,4598.640829
